year,gdp_smooth
474,61436221.9960678
475,61487074.01249637
476,61537968.12017815
477,61588904.35395289
478,61639882.748689234
479,61690903.33928468
480,61741966.1606656
481,61793071.24778726
482,61844218.6356339
483,61895408.35921867
484,61946640.45358376
485,61997914.95380031
486,62049231.8949685
487,62100591.31221759
488,62151993.24070591
489,62203437.71562084
490,62254924.77217896
491,62306454.44562597
492,62358026.77123672
493,62409641.78431529
494,62461299.52019496
495,62513000.01423828
496,62564743.301837035
497,62616529.41841235
498,62668358.39941463
499,62720230.28032363
500,62772145.0966485
501,62824102.88392773
502,62876103.6777293
503,62928147.51365056
504,62980234.42731835
505,63032364.454389
506,63084537.63054837
507,63136753.99151184
508,63189013.57302433
509,63241316.410860404
510,63293662.5408242
511,63346051.99874947
512,63398484.82049969
513,63450961.04196796
514,63503480.699077114
515,63556043.827779725
516,63608650.464058116
517,63661300.6439244
518,63713994.4034205
519,63766731.778618164
520,63819512.80561899
521,63872337.520554475
522,63925205.95958601
523,63978118.158904925
524,64031074.15473251
525,64084073.98332003
526,64137117.68094875
527,64190205.28392997
528,64243336.828605056
529,64296512.351345435
530,64349731.888552666
531,64402995.476658404
532,64456303.152124494
533,64509654.95144293
534,64563050.91113595
535,64616491.06775597
536,64669975.45788571
537,64723504.118138134
538,64777077.085156545
539,64830694.39561455
540,64884356.08621611
541,64938062.19369559
542,64991812.754817754
543,65045607.80637777
544,65099447.385201305
545,65153331.52814446
546,65207260.272093885
547,65261233.65396674
548,65315251.71071074
549,65369314.4793042
550,65423421.99675604
551,65477574.30010578
552,65531771.42642364
553,65586013.41281049
554,65640300.29639794
555,65694632.114348315
556,65749008.90385471
557,65803430.702141
558,65857897.54646188
559,65912409.47410285
560,65966966.52238032
561,66021568.72864154
562,66076216.13026472
563,66130908.76465896
564,66185646.66926437
565,66240429.881552026
566,66295258.439024
567,66350132.37921346
568,66405051.73968459
569,66460016.558032684
570,66515026.87188417
571,66570082.71889658
572,66625184.13675868
573,66680331.16319036
574,66735523.83594277
575,66790762.19279832
576,66846046.27157066
577,66901376.11010476
578,66956751.746276915
579,67012173.21799476
580,67067640.56319731
581,67123153.81985499
582,67178713.02596964
583,67234318.21957459
584,67289969.4387346
585,67345666.72154598
586,67401410.10613655
587,67457199.63066567
588,67513035.33332434
589,67568917.25233515
590,67624845.42595229
591,67680819.89246164
592,67736840.69018081
593,67792907.85745905
594,67849021.43267742
595,67905181.45424871
596,67961387.96061751
597,68017640.99026026
598,68073940.58168519
599,68130286.77343245
600,68186679.60407409
601,68243119.11221407
602,68299605.33648832
603,68356138.31556472
604,68412718.08814318
605,68469344.69295564
606,68526018.16876611
607,68582738.55437066
608,68639505.88859747
609,68696320.21030691
610,68753181.55839145
611,68810089.9717758
612,68867045.48941685
613,68924048.15030377
614,68981097.993458
615,69038195.05793324
616,69095339.38281557
617,69152531.00722337
618,69209769.97030742
619,69267056.31125094
620,69324390.06926954
621,69381771.2836113
622,69439199.99355677
623,69496676.23841906
624,69554200.05754378
625,69611771.49030912
626,69669390.57612586
627,69727057.35443741
628,69784771.86471982
629,69842534.14648181
630,69900344.23926483
631,69958202.18264303
632,70016108.01622331
633,70074061.77964538
634,70132063.51258177
635,70190113.2547378
636,70248211.04585168
637,70306356.92569454
638,70364550.93407036
639,70422793.11081618
640,70481083.49580188
641,70539422.12893042
642,70597809.05013779
643,70656244.29939301
644,70714727.9166982
645,70773259.94208857
646,70831840.41563252
647,70890469.37743151
648,70949146.86762032
649,71007872.92636684
650,71066647.5938723
651,71125470.91037114
652,71184342.91613112
653,71243263.65145338
654,71302233.15667233
655,71361251.47215582
656,71420318.6383051
657,71479434.69555487
658,71538599.6843733
659,71597813.64526206
660,71657076.6187563
661,71716388.64542478
662,71775749.76586981
663,71835160.02072729
664,71894619.4506668
665,71954128.09639159
666,72013685.9986385
667,72073293.19817822
668,72132949.73581508
669,72192655.65238726
670,72252410.98876673
671,72312215.78585923
672,72372070.08460446
673,72431973.92597587
674,72491927.350981
675,72551930.40066114
676,72611983.11609173
677,72672085.53838208
678,72732237.7086756
679,72792439.66814968
680,72852691.45801589
681,72912993.11951986
682,72973344.69394135
683,73033746.22259432
684,73094197.74682686
685,73154699.30802141
686,73215250.94759451
687,73275852.70699711
688,73336504.62771438
689,73397206.75126588
690,73457959.11920553
691,73518761.77312163
692,73579614.75463691
693,73640518.10540858
694,73701471.86712827
695,73762476.08152212
696,73823530.79035091
697,73884636.03540988
698,73945791.8585289
699,74006998.30157247
700,74068255.40643974
701,74129563.21506451
702,74190921.76941535
703,74252331.11149554
704,74313791.28334306
705,74375302.32703082
706,74436864.28466645
707,74498477.19839248
708,74560141.11038627
709,74621856.06286016
710,74683622.09806138
711,74745439.25827217
712,74807307.58580975
713,74869227.12302633
714,74931197.91230921
715,74993219.9960808
716,75055293.41679858
717,75117418.2169552
718,75179594.43907845
719,75241822.12573136
720,75304101.31951217
721,75366432.0630544
722,75428814.3990268
723,75491248.37013349
724,75553734.01911396
725,75616271.38874303
726,75678860.5218309
727,75741501.46122327
728,75804194.2498013
729,75866938.93048158
730,75929735.5462163
731,75992584.13999312
732,76055484.75483537
733,76118437.43380192
734,76181442.21998733
735,76244499.1565218
736,76307608.28657125
737,76370769.6533373
738,76433983.30005737
739,76497249.27000463
740,76560567.6064881
741,76623938.35285261
742,76687361.5524789
743,76750837.24878362
744,76814365.48521931
745,76877946.30527456
746,76941579.75247385
747,77005265.8703778
748,77069004.70258297
749,77132796.2927221
750,77196640.68446402
751,77260537.92151366
752,77324488.0476122
753,77388491.10653695
754,77452547.14210153
755,77516656.19815575
756,77580818.31858577
757,77645033.54731405
758,77709301.92829946
759,77773623.50553712
760,77837998.32305872
761,77902426.42493235
762,77966907.85526247
763,78031442.65819024
764,78096030.87789316
765,78160672.55858545
766,78225367.74451783
767,78290116.47997765
768,78354918.80928902
769,78419774.77681263
770,78484684.42694594
771,78549647.80412312
772,78614664.95281513
773,78679735.91752978
774,78744860.74281171
775,78810039.47324237
776,78875272.15344016
777,78940558.82806043
778,79005899.54179543
779,79071294.3393745
780,79136743.26556388
781,79202246.36516693
782,79267803.68302414
783,79333415.26401304
784,79399081.15304832
785,79464801.39508188
786,79530576.03510281
787,79596405.1181374
788,79662288.6892493
789,79728226.79353936
790,79794219.47614582
791,79860266.78224428
792,79926368.7570477
793,79992525.4458065
794,80058736.89380851
795,80125003.14637913
796,80191324.24888119
797,80257700.24671508
798,80324131.18531881
799,80390617.11016797
800,80457158.06677583
801,80523754.10069326
802,80590405.25750887
803,80657111.58284906
804,80723873.1223779
805,80790689.9217973
806,80857562.02684702
807,80924489.48330468
